mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_eta,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
7.763775289058685,0.14170694289064453,0.04651069641113281,0.00539253098288928,0.7,5,4,1,0.5,0.15,0.7,"{'subsample': 0.7, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 1, 'gamma': 0.5, 'eta': 0.15, 'colsample_bytree': 0.7}",0.9107662463627546,0.9045871559633027,0.9056603773584906,0.9268774703557312,0.9119725205555099,0.008916072403534068,245,0.9903206291591047,0.9908508691674291,0.991169305724726,0.9908508691674291,0.9907979183046722,0.00030468882978547146
20.776363849639893,0.21499629232799317,0.03752398490905762,0.0033000510249825542,0.9,1,10,1,2,0.15,0.9,"{'subsample': 0.9, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 1, 'gamma': 2, 'eta': 0.15, 'colsample_bytree': 0.9}",0.9346534653465347,0.925512104283054,0.9259962049335864,0.9422310756972112,0.9320980756009274,0.006888567248774947,159,1.0,1.0,0.9996983408748115,1.0,0.9999245852187029,0.00013062223284833116
16.05339616537094,0.5630541167747594,0.06304186582565308,0.0036983495845222146,0.7,10,7,0.01,0.5,0.15,0.9,"{'subsample': 0.7, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.5, 'eta': 0.15, 'colsample_bytree': 0.9}",0.9519230769230769,0.9171094580233794,0.9473094170403588,0.9569377990430622,0.9433193394788227,0.015511313394773442,145,0.9575,0.9531992687385741,0.9582706766917293,0.9640015157256536,0.9582428652889894,0.0038455345313350786
15.928213894367218,0.09614003830829106,0.06996268033981323,0.007665039649254127,0.9,10,7,0.01,2,0.3,0.9,"{'subsample': 0.9, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 2, 'eta': 0.3, 'colsample_bytree': 0.9}",0.9498207885304659,0.919661733615222,0.945474372955289,0.951764705882353,0.9416799286767416,0.012915152065481432,152,0.9605263157894737,0.9544797687861272,0.9579613095238095,0.9640584050917259,0.959256449797784,0.0035059023124675167
18.03092646598816,0.14120863287746022,0.09933537244796753,0.004185620216686265,0.9,1,10,0.1,0.5,0.3,0.7,"{'subsample': 0.9, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'eta': 0.3, 'colsample_bytree': 0.7}",0.9540347293156282,0.9484240687679083,0.9497098646034816,0.9505549949545913,0.9506809516842476,0.00207973949539386,74,0.9993924665856622,0.999390243902439,0.9993915424399148,0.9993941229930324,0.9993920939802621,1.412684705840725e-06
12.529672861099243,0.1619162807450173,0.07794606685638428,0.00792116325265401,0.9,5,7,0.1,2,0.05,0.7,"{'subsample': 0.9, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 2, 'eta': 0.05, 'colsample_bytree': 0.7}",0.9551760939167556,0.9508357915437562,0.9498495486459378,0.9541666666666667,0.9525070590986502,0.0022211229140535944,54,0.9812460267005721,0.980529843600383,0.9818990155604954,0.982561826252378,0.9815591780284572,0.0007547161930302631
11.912880659103394,0.09527493896803399,0.06032770872116089,2.9639454700203137e-05,0.9,5,7,1,0.5,0.05,0.7,"{'subsample': 0.9, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 1, 'gamma': 0.5, 'eta': 0.05, 'colsample_bytree': 0.7}",0.9278752436647173,0.9201101928374655,0.9159663865546218,0.9346534653465347,0.9246512773435225,0.007184648274166665,181,0.9996990671080349,0.9996987044290448,0.9996990671080349,0.9996989765201686,0.9996989537913208,1.486434497240064e-07
20.42452895641327,0.19389431367217677,0.0854792594909668,0.008783120401157127,0.7,5,10,0.1,2,0.15,0.9,"{'subsample': 0.7, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 2, 'eta': 0.15, 'colsample_bytree': 0.9}",0.9483805668016194,0.9486931268151017,0.9484435797665369,0.9468937875751503,0.9481027947388594,0.000707708226628211,110,0.9854037267080745,0.9796875,0.980625,0.9829298572315333,0.982161520984902,0.0022126858741154166
7.820846080780029,0.047702357359285734,0.04733318090438843,0.006478562635478177,0.7,5,4,0.01,2,0.05,0.7,"{'subsample': 0.7, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 2, 'eta': 0.05, 'colsample_bytree': 0.7}",0.9557069846678024,0.9546925566343042,0.9568345323741008,0.9506398537477148,0.9544685315528065,0.00233663315554928,41,0.9642857142857143,0.9647847959754052,0.9651293588301463,0.9632107023411371,0.9643526428581006,0.0007243189207992903
13.046731173992157,0.19822059621685478,0.07591402530670166,0.010620040246729365,0.9,1,7,0.1,5,0.3,0.7,"{'subsample': 0.9, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 5, 'eta': 0.3, 'colsample_bytree': 0.7}",0.9521785334750266,0.9536489151873767,0.9567839195979899,0.9569327731092437,0.9548859013083615,0.002040355692771825,35,0.9838454228698131,0.9858883899935856,0.9862179487179488,0.9862444017914267,0.9855490408431935,0.0009935336730999432
